filename,relative_path,format,pixel_dimensions,file_size,sha256,referenced_by_chapter,referenced_in_source,exists,notes
ch01_img1.svg,original/images/chapters/ch01_img1.svg,SVG, × ; viewBox 0 0 1200 800,9791,0505aca77edf8b65363630cb8666adee1da244e5b2ab4669e01f3bccd2c50851,01-foundations.qmd,145: ../assets/images/chapters/ch01_img1.svg,YES,Used through byte-identical build resource alias
ch01_img10.svg,original/images/chapters/ch01_img10.svg,SVG, × ; viewBox 0 0 1200 900,13105,b3f690d5c3583313ecbf2deeb033bef308664b08b434b596a28b38845515b3cc,01-foundations.qmd,193: ../assets/images/chapters/ch01_img10.svg,YES,Used through byte-identical build resource alias
ch01_img11.png,original/images/chapters/ch01_img11.png,PNG,2500 × 1875,440764,aa07927406b3329cd2aa0ebd825396188ad3e99ae6f98cec159d5a012dcc33fc,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
ch01_img12.svg,original/images/chapters/ch01_img12.svg,SVG, × ; viewBox 0 0 800 600,7312,03bb369e0faaab08640a4ea05f0bdd16c502c92dac3d775beaff32aa82c507aa,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
ch01_img2.png,original/images/chapters/ch01_img2.png,PNG,2500 × 1875,399917,491d8962d1d2fe4d01b50af77738b626b4b2fa7fbe4e48a34ac8b995700c5f5c,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
ch01_img3.png,original/images/chapters/ch01_img3.png,PNG,2500 × 1666,304723,11a760057921ff2a1da3348544c1a4672af461adea817c230b8ebefe53e77929,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
ch01_img4.svg,original/images/chapters/ch01_img4.svg,SVG, × ; viewBox 0 0 1400 1000,13119,a1045daf6f4a07ccbbb18781d3541cafb670a85e1e5f26bedfb78d87ac8831a6,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
ch01_img5.svg,original/images/chapters/ch01_img5.svg,SVG, × ; viewBox 0 0 800 550,7871,96f88fbac81747e8677e8f15232a348f8cc247ce8afed7d94bfb409973cf1551,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
ch01_img6.png,original/images/chapters/ch01_img6.png,PNG,2500 × 1718,401348,9efb393e670a6d39ee0ba6acca523abc82873ee5fc8e31888e8d60ea43bcc0af,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
ch01_img7.svg,original/images/chapters/ch01_img7.svg,SVG, × ; viewBox 0 0 1200 800,9056,244ef68edba5d923bbc5f08f3c286491c171054a7511c8a0c24241e8eb3b5e2f,01-foundations.qmd,87: ../assets/images/chapters/ch01_img7.svg,YES,Used through byte-identical build resource alias
ch01_img8.png,original/images/chapters/ch01_img8.png,PNG,2500 × 1785,449974,31917724951b37ba7c4afa0b746355e8344f0d252bc8dc2809ca7cc155ed6706,01-foundations.qmd,221: ../assets/images/chapters/ch01_img8.png,YES,Used through byte-identical build resource alias
ch01_img9.png,original/images/chapters/ch01_img9.png,PNG,2500 × 1666,395084,6ac209e1b3a2dbc2b7507ee5f7999b4ed983532dfb956d6220cc3fc8e0d21bb9,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
figure_2_10_architecture.svg,original/images/chapters/figure_2_10_architecture.svg,SVG, × ; viewBox 0 0 900 750,9746,0ece5bb65b25450b9891f3bb4491c7a47d9ba1c1a127fbfe5cba540562b0c68a,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
figure_2_11_interface_mockup.svg,original/images/chapters/figure_2_11_interface_mockup.svg,SVG, × ; viewBox 0 0 1000 700,9454,bcff2a5c2f00106d2f37dc41256f36a383d89cbf74c790e30a74650fae3c669c,,,YES,"Supplied asset not referenced by the original chapters; retained, not inserted."
figure_2_1_attention_mechanism.svg,original/images/chapters/figure_2_1_attention_mechanism.svg,SVG, × ; viewBox 0 0 800 500,4646,a35cb96225c4e351109ad239ccb5155cc1478974dcf8848887773609f4862b20,02-llms.qmd,134: ../assets/images/chapters/figure_2_1_attention_mechanism.svg,YES,Used through byte-identical build resource alias
figure_2_2_multi_head_attention.svg,original/images/chapters/figure_2_2_multi_head_attention.svg,SVG, × ; viewBox 0 0 900 600,6721,7e9a6559ef2e4df5c29e678be2860f0db87b2237c9829df2c91d1bfc343b50cf,02-llms.qmd,158: ../assets/images/chapters/figure_2_2_multi_head_attention.svg,YES,Used through byte-identical build resource alias
figure_2_3_layer_stack.svg,original/images/chapters/figure_2_3_layer_stack.svg,SVG, × ; viewBox 0 0 700 650,5274,b1b40f6eafc09eb9f0de770ddb7d66d7177fcbf0018c1eabd407959465b57ad6,02-llms.qmd,193: ../assets/images/chapters/figure_2_3_layer_stack.svg,YES,Used through byte-identical build resource alias
figure_2_4_pretraining.svg,original/images/chapters/figure_2_4_pretraining.svg,SVG, × ; viewBox 0 0 800 550,6931,a61e528c85665fcff4721dceba911573076bc6c0b98f8e8ceb55fe20d45adb5b,02-llms.qmd,295: ../assets/images/chapters/figure_2_4_pretraining.svg,YES,Used through byte-identical build resource alias
figure_2_5_rlhf.svg,original/images/chapters/figure_2_5_rlhf.svg,SVG, × ; viewBox 0 0 800 600,4681,4b4c86af13e00b6a71bd9b624d051d5fb0c597d8015ef37751a6ed401376e09c,02-llms.qmd,358: ../assets/images/chapters/figure_2_5_rlhf.svg,YES,Used through byte-identical build resource alias
figure_2_6_autoregressive.svg,original/images/chapters/figure_2_6_autoregressive.svg,SVG, × ; viewBox 0 0 800 500,4400,68e07e8f6f535cba6af715f83821ac10e0d5917f808360c123bcec6ac1a3e4cb,02-llms.qmd,394: ../assets/images/chapters/figure_2_6_autoregressive.svg,YES,Used through byte-identical build resource alias
figure_2_7_model_comparison.svg,original/images/chapters/figure_2_7_model_comparison.svg,SVG, × ; viewBox 0 0 900 550,9016,30db59660f44318421efbebb3ad6d0bcb6100b1b1921adaeb09a038c07ee484e,02-llms.qmd,488: ../assets/images/chapters/figure_2_7_model_comparison.svg,YES,Used through byte-identical build resource alias
figure_2_8_decision_matrix.svg,original/images/chapters/figure_2_8_decision_matrix.svg,SVG, × ; viewBox 0 0 800 600,8152,a246629d79233a9ad2fade3de7a11e1f8708a557a6388b5ee9b75811390cb1f7,02-llms.qmd,538: ../assets/images/chapters/figure_2_8_decision_matrix.svg,YES,Used through byte-identical build resource alias
figure_2_9_model_families.svg,original/images/chapters/figure_2_9_model_families.svg,SVG, × ; viewBox 0 0 1000 650,10794,12733d956f76e2a86c4fd952d8bf8a37d9dc542308efed0c5ee0cc3d886b1a30,02-llms.qmd,770: ../assets/images/chapters/figure_2_9_model_families.svg,YES,Used through byte-identical build resource alias
figure_3_1_prompt_anatomy.svg,original/images/chapters/figure_3_1_prompt_anatomy.svg,SVG, × ; viewBox 0 0 800 600,4899,a5dca46249d2e3bd0b32bdc8e4f940f7450397c466e872c05b5c090c07ce9143,03-prompt-engineering.qmd,193: /assets/images/chapters/figure_3_1_prompt_anatomy.svg,YES,Used through byte-identical build resource alias
figure_3_2_few_shot_impact.svg,original/images/chapters/figure_3_2_few_shot_impact.svg,SVG, × ; viewBox 0 0 800 500,5234,3783a1842cf774c3e861614fd81d94aed0ce56260de2e97a0d3bdd6777a8b157,03-prompt-engineering.qmd,321: ../assets/images/chapters/figure_3_2_few_shot_impact.svg,YES,Used through byte-identical build resource alias
figure_3_3_cot_process.svg,original/images/chapters/figure_3_3_cot_process.svg,SVG, × ; viewBox 0 0 800 600,6765,8ed476c4d5fd3a3ba52fb2e14c3d82b2d9dc4881900ece305b0370c83fc9e31a,03-prompt-engineering.qmd,621: ../assets/images/chapters/figure_3_3_cot_process.svg,YES,Used through byte-identical build resource alias
figure_3_4_template_selection.svg,original/images/chapters/figure_3_4_template_selection.svg,SVG, × ; viewBox 0 0 900 700,7809,250984a2855d59fa6959daa6e9fa6004f779e40e54686d39b0253198182aa14d,03-prompt-engineering.qmd,892: ../assets/images/chapters/figure_3_4_template_selection.svg,YES,Used through byte-identical build resource alias
