page,math_score,status
20,6,REVIEWED_BY_CONTACT_SHEET
23,11,REVIEWED_BY_CONTACT_SHEET
28,6,REVIEWED_BY_CONTACT_SHEET
29,8,REVIEWED_BY_CONTACT_SHEET
30,12,REVIEWED_BY_CONTACT_SHEET
31,9,REVIEWED_BY_CONTACT_SHEET
32,12,REVIEWED_BY_CONTACT_SHEET
35,8,REVIEWED_BY_CONTACT_SHEET
36,5,REVIEWED_BY_CONTACT_SHEET
37,27,REVIEWED_BY_CONTACT_SHEET
38,10,REVIEWED_BY_CONTACT_SHEET
39,17,REVIEWED_BY_CONTACT_SHEET
40,21,REVIEWED_BY_CONTACT_SHEET
42,4,REVIEWED_BY_CONTACT_SHEET
43,16,REVIEWED_BY_CONTACT_SHEET
44,22,REVIEWED_BY_CONTACT_SHEET
45,25,REVIEWED_BY_CONTACT_SHEET
46,7,REVIEWED_BY_CONTACT_SHEET
52,10,REVIEWED_BY_CONTACT_SHEET
53,15,REVIEWED_BY_CONTACT_SHEET
54,22,REVIEWED_BY_CONTACT_SHEET
55,15,REVIEWED_BY_CONTACT_SHEET
56,43,REVIEWED_BY_CONTACT_SHEET
57,32,REVIEWED_BY_CONTACT_SHEET
58,23,REVIEWED_BY_CONTACT_SHEET
60,9,REVIEWED_BY_CONTACT_SHEET
61,10,REVIEWED_BY_CONTACT_SHEET
62,12,REVIEWED_BY_CONTACT_SHEET
63,6,REVIEWED_BY_CONTACT_SHEET
64,12,REVIEWED_BY_CONTACT_SHEET
65,14,REVIEWED_BY_CONTACT_SHEET
66,13,REVIEWED_BY_CONTACT_SHEET
67,5,REVIEWED_BY_CONTACT_SHEET
70,5,REVIEWED_BY_CONTACT_SHEET
71,15,REVIEWED_BY_CONTACT_SHEET
72,17,REVIEWED_BY_CONTACT_SHEET
73,4,REVIEWED_BY_CONTACT_SHEET
83,14,REVIEWED_BY_CONTACT_SHEET
84,6,REVIEWED_BY_CONTACT_SHEET
85,7,REVIEWED_BY_CONTACT_SHEET
86,5,REVIEWED_BY_CONTACT_SHEET
87,10,REVIEWED_BY_CONTACT_SHEET
88,34,REVIEWED_BY_CONTACT_SHEET
89,15,REVIEWED_BY_CONTACT_SHEET
91,4,REVIEWED_BY_CONTACT_SHEET
92,43,REVIEWED_BY_CONTACT_SHEET
94,5,REVIEWED_BY_CONTACT_SHEET
95,5,REVIEWED_BY_CONTACT_SHEET
97,6,REVIEWED_BY_CONTACT_SHEET
98,31,REVIEWED_BY_CONTACT_SHEET
99,10,REVIEWED_BY_CONTACT_SHEET
100,8,REVIEWED_BY_CONTACT_SHEET
101,10,REVIEWED_BY_CONTACT_SHEET
102,8,REVIEWED_BY_CONTACT_SHEET
103,13,REVIEWED_BY_CONTACT_SHEET
104,9,REVIEWED_BY_CONTACT_SHEET
106,8,REVIEWED_BY_CONTACT_SHEET
107,16,REVIEWED_BY_CONTACT_SHEET
108,13,REVIEWED_BY_CONTACT_SHEET
109,9,REVIEWED_BY_CONTACT_SHEET
110,34,REVIEWED_BY_CONTACT_SHEET
111,26,REVIEWED_BY_CONTACT_SHEET
112,27,REVIEWED_BY_CONTACT_SHEET
113,41,REVIEWED_BY_CONTACT_SHEET
114,33,REVIEWED_BY_CONTACT_SHEET
115,39,REVIEWED_BY_CONTACT_SHEET
116,43,REVIEWED_BY_CONTACT_SHEET
117,58,REVIEWED_BY_CONTACT_SHEET
118,43,REVIEWED_BY_CONTACT_SHEET
119,15,REVIEWED_BY_CONTACT_SHEET
120,19,REVIEWED_BY_CONTACT_SHEET
121,12,REVIEWED_BY_CONTACT_SHEET
122,18,REVIEWED_BY_CONTACT_SHEET
123,13,REVIEWED_BY_CONTACT_SHEET
124,12,REVIEWED_BY_CONTACT_SHEET
125,14,REVIEWED_BY_CONTACT_SHEET
126,13,REVIEWED_BY_CONTACT_SHEET
127,13,REVIEWED_BY_CONTACT_SHEET
128,20,REVIEWED_BY_CONTACT_SHEET
129,13,REVIEWED_BY_CONTACT_SHEET
130,22,REVIEWED_BY_CONTACT_SHEET
131,22,REVIEWED_BY_CONTACT_SHEET
132,11,REVIEWED_BY_CONTACT_SHEET
133,11,REVIEWED_BY_CONTACT_SHEET
134,8,REVIEWED_BY_CONTACT_SHEET
135,7,REVIEWED_BY_CONTACT_SHEET
137,5,REVIEWED_BY_CONTACT_SHEET
139,18,REVIEWED_BY_CONTACT_SHEET
140,4,REVIEWED_BY_CONTACT_SHEET
143,7,REVIEWED_BY_CONTACT_SHEET
149,16,REVIEWED_BY_CONTACT_SHEET
150,13,REVIEWED_BY_CONTACT_SHEET
151,6,REVIEWED_BY_CONTACT_SHEET
152,17,REVIEWED_BY_CONTACT_SHEET
153,14,REVIEWED_BY_CONTACT_SHEET
154,17,REVIEWED_BY_CONTACT_SHEET
155,5,REVIEWED_BY_CONTACT_SHEET
156,22,REVIEWED_BY_CONTACT_SHEET
157,14,REVIEWED_BY_CONTACT_SHEET
158,13,REVIEWED_BY_CONTACT_SHEET
159,11,REVIEWED_BY_CONTACT_SHEET
160,21,REVIEWED_BY_CONTACT_SHEET
161,31,REVIEWED_BY_CONTACT_SHEET
162,30,REVIEWED_BY_CONTACT_SHEET
163,11,REVIEWED_BY_CONTACT_SHEET
164,20,REVIEWED_BY_CONTACT_SHEET
165,18,REVIEWED_BY_CONTACT_SHEET
166,28,REVIEWED_BY_CONTACT_SHEET
167,13,REVIEWED_BY_CONTACT_SHEET
168,20,REVIEWED_BY_CONTACT_SHEET
169,12,REVIEWED_BY_CONTACT_SHEET
170,8,REVIEWED_BY_CONTACT_SHEET
171,18,REVIEWED_BY_CONTACT_SHEET
172,26,REVIEWED_BY_CONTACT_SHEET
173,24,REVIEWED_BY_CONTACT_SHEET
174,26,REVIEWED_BY_CONTACT_SHEET
175,10,REVIEWED_BY_CONTACT_SHEET
176,25,REVIEWED_BY_CONTACT_SHEET
177,13,REVIEWED_BY_CONTACT_SHEET
178,15,REVIEWED_BY_CONTACT_SHEET
179,5,REVIEWED_BY_CONTACT_SHEET
180,17,REVIEWED_BY_CONTACT_SHEET
181,8,REVIEWED_BY_CONTACT_SHEET
182,17,REVIEWED_BY_CONTACT_SHEET
183,20,REVIEWED_BY_CONTACT_SHEET
184,14,REVIEWED_BY_CONTACT_SHEET
185,20,REVIEWED_BY_CONTACT_SHEET
186,4,REVIEWED_BY_CONTACT_SHEET
193,12,REVIEWED_BY_CONTACT_SHEET
194,10,REVIEWED_BY_CONTACT_SHEET
195,11,REVIEWED_BY_CONTACT_SHEET
196,9,REVIEWED_BY_CONTACT_SHEET
