chapter,source_headings,html_headings,pdf_headings,source_blocks,html_blocks,pdf_blocks,source_figures,html_figures,pdf_figures,source_tables,html_tables,pdf_tables,text_coverage,status
1,40,40,40,21,21,21,7,7,7,4,4,4,99.85%,PASS
2,55,55,55,8,8,8,8,8,8,4,4,4,100.00%,PASS
3,55,55,55,48,48,48,14,14,14,4,4,4,99.97%,PASS
4,55,55,55,31,31,31,24,24,24,3,3,3,100.00%,PASS
5,58,58,58,43,43,43,8,8,8,6,6,6,100.00%,PASS
6,62,62,62,53,53,53,2,2,2,4,4,4,100.00%,PASS
7,75,75,75,85,85,85,9,9,9,6,6,6,100.00%,PASS
8,62,62,62,78,78,78,3,3,3,4,4,4,100.00%,PASS
9,63,63,63,71,71,71,0,0,0,1,1,1,100.00%,PASS
10,57,57,57,104,104,104,0,0,0,1,1,1,99.77%,PASS
11,52,52,52,44,44,44,0,0,0,1,1,1,99.89%,PASS
12,68,68,68,57,57,57,0,0,0,1,1,1,99.97%,PASS
13,50,50,50,31,31,31,0,0,0,2,2,2,99.98%,PASS
14,50,50,50,4,4,4,0,0,0,1,1,1,99.98%,PASS
15,59,59,59,8,8,8,0,0,0,1,1,1,99.83%,PASS
